,baseMean,log2FoldChange,lfcSE,pvalue,padj
MYOC,3.8182809333634267,-1.7796617882006487,0.3690689316739423,2.0392397009458297e-07,6.11432037000258e-05
NOS1,3.6538576594772656,-1.2241044343070073,0.43359453642132867,8.383371003410518e-05,0.0065007260496273795
FGB,3.4648431288228565,1.414394656600381,0.603170757765914,0.00013382006678371125,0.009050462411424683
ITPKA,4.021930058236151,1.4895702494850929,0.34191308556422517,2.3626638855055927e-06,0.0004086954163485155
NEIL3,3.131069693856242,1.5679740035461993,0.4414176540214003,1.679323348123656e-05,0.0018881891895465356
FABP4,7.562469307264127,-1.1436204887220673,0.21088006860097885,2.9321080569294355e-08,1.515763175480568e-05
GRIA1,5.87207255630954,-1.2351429411648895,0.2523300449060795,3.8927307417959266e-07,0.00010452272544016227
GKN2,6.766129817790557,-1.2770064201719042,0.2400507872073983,4.294534736076764e-08,1.8394923786195472e-05
ADH1A,4.209189589484141,-1.1213076141679577,0.3890172135244853,8.210948619327035e-05,0.006422389811377972
RSPO2,4.955121602985053,-1.0205879729952894,0.3270361065904545,5.906537827212932e-05,0.004896710392237818
RSPO1,4.5112387450647375,-1.218489358213024,0.3140311877610978,1.2594968463699708e-05,0.0014772980857633228
TRPM8,2.0477775857194547,1.9585906533028694,0.9163093784453802,5.1586011186921944e-05,0.004474376071232796
LOC554202,2.185510792332296,1.5076698155400057,0.8874368987479598,0.00022338376562910922,0.013395579812225583
C8B,5.152659389521977,-1.31551022021873,0.283847341984848,1.0858291140889814e-06,0.00023254840193405685
PTCRA,3.1319635636514334,-1.273584498058713,0.48894514581047555,0.00011045086178734655,0.007884964299818905
CHRNA2,1.9116370563092546,-2.3452245489862937,0.765060634044753,7.0097185364774525e-06,0.0009481566651972133
ANKRD1,6.57053581182114,-1.3563008930245946,0.24361346151916627,9.645956352258571e-09,6.197526956326132e-06
CD5L,3.020401384144161,-1.8919755408650956,0.452198292249472,1.914240497191628e-06,0.0003443718654447739
FOLR3,3.410361517778719,-1.6889661691463487,0.39323006057784776,2.043295193902063e-06,0.00035688233532328264
CNTFR,3.5412254669895007,-1.3736551826564514,0.4149470515589896,3.360365844843492e-05,0.0032256090918817244
BARX2,4.870789146039654,1.2945987487682624,0.28447923607802283,1.5538448830525954e-06,0.000291184056730377
CABYR,4.038174543698677,1.3069210417161135,0.3406157674855929,1.2785742241713455e-05,0.0014839709866350003
KLK7,3.6329261406460702,-1.5713889409136959,0.39219946566027963,5.948945658871547e-06,0.0008296242821945669
CD300LG,4.959580703594705,-1.8222342746919347,0.3105741599503398,6.694010135756796e-10,8.028349489484317e-07
LRRC36,5.9213783705645024,-1.0811669598855729,0.2506759156141526,4.425861767018034e-06,0.0006747563829546986
NEK2,5.452547767307416,1.0844203786886077,0.26535384437119736,8.407497218056605e-06,0.001065147006710129
CACNA1S,1.8008026746406602,-2.050401714180363,0.9345554935322208,3.794316088274034e-05,0.003592618233055257
PTPN5,2.82619992368136,-2.0937280992330978,0.4848689057156647,7.466133053870283e-07,0.00017673122847253471
AGBL1,2.4398891043169324,-1.7120247703055287,0.6342972178088953,5.19665951013107e-05,0.004474376071232796
CNTD2,2.569201043992796,1.402098610979217,0.658273428068031,0.00017873746305256937,0.01136214473609796
NUF2,5.038433079583407,1.0842478218041107,0.29123612023445705,1.9511030992637866e-05,0.002101856816586653
GREM1,6.253408424122485,1.0757401187859807,0.2409282494948004,2.6974332125100705e-06,0.00044932243975052006
HBA1,8.862488730081118,-1.0284063161673287,0.19399358699865887,6.508724343560215e-08,2.5647188937231004e-05
TFR2,3.018967531660943,1.0415013924458054,0.5732512634250326,0.00041070741163260524,0.0215411846509346
CCDC141,5.484707994223235,-1.0533756791457702,0.27244398400936637,1.4577440071264432e-05,0.0016703703623060328
ADRA1A,2.6310087457227276,-2.1730710090392495,0.5278104288830446,1.186152061637204e-06,0.0002481264603355035
FGFBP2,4.374010378778073,-1.2892414634273004,0.33444774185893567,1.2496375381978065e-05,0.0014772980857633228
RPL13AP17,4.128608761363638,-1.8074103472084522,0.3507174245070794,3.75552920287597e-08,1.704574010210536e-05
PPP1R14D,2.73950949512488,2.4401869062684036,0.5585534461535536,2.3682477201805278e-07,6.984389587876672e-05
PCDH15,3.7921138275220794,-1.5737038024977432,0.3659777647741119,2.4842754440691547e-06,0.0004176833199888233
COL17A1,5.923586687623722,1.1455249351969141,0.24800797566731758,1.424805510917537e-06,0.0002726835227809201
GRIK4,3.320845716196348,-1.3140218715651597,0.4403767066099091,6.0725747675736426e-05,0.004988384478020541
GUCA2A,1.7719237030295625,-1.0281737526155323,1.0367256070842292,0.0008514247071609549,0.03391217002271179
KRT6B,2.768138832729736,2.0754351495490004,0.5459860274596988,3.604895074108059e-06,0.0005688777402035437
KRT6C,2.130481078411208,1.2869061728903073,1.0327744681594846,0.00043952037102817004,0.02236078068304578
DUSP13,1.7191040217337354,1.1399041897736713,1.1085181603951229,0.0005554325390929424,0.025686970124118337
SEC14L3,3.2870262695727424,-1.9797584267599908,0.46801241912926317,1.3437539970468687e-06,0.0002599369291061631
NXF3,3.2963700408952445,-2.0405370143727075,0.4192728711733824,8.644495456502383e-08,3.1737647604587325e-05
FAM150B,4.7639494336099,-1.3157753424527117,0.2936918266930423,1.9675869574621183e-06,0.0003497640166294758
GPR87,4.290281085015556,2.016161030837054,0.359582770875938,1.886124370947664e-09,1.9959633784322633e-06
HPSE2,2.8769170681706866,-1.093814630266001,0.6617029588408374,0.0004948150756830182,0.0241894652487432
MUC13,4.373027783026362,1.5424299084122286,0.34340883019805374,1.331644723775784e-06,0.0002599369291061631
ANGPTL7,3.018432715522506,-2.4207789840980727,0.489729460671757,2.0360768146876385e-08,1.2115317936941428e-05
ANGPTL5,2.016709146347897,-1.0613221289901915,0.875124251965729,0.0008515521687120264,0.03391217002271179
GPR115,3.270324515092438,2.168291590441152,0.45296806546082663,8.859482300818724e-08,3.187641731834577e-05
MMP11,6.724333757306217,1.2145951195628557,0.22760041878455853,4.284928380582389e-08,1.8394923786195472e-05
MMP12,4.898141687421011,1.4380356020784644,0.2968471856784002,3.622782710479365e-07,0.0001018341577523809
MMP13,3.7621955343535407,2.4766314904965303,0.5528116650034426,1.3775200831653285e-07,4.504300236076759e-05
C1orf61,1.7690210099143429,1.2655366403666355,1.0540023068514277,0.0004547550651981216,0.022852077158978232
CSF3,5.905869069799565,-1.377458608598806,0.29833443030378654,1.065495775162583e-06,0.00023177011438152797
WNT7A,5.125696551706239,-1.0911065113463139,0.2902136318540114,1.8003644226869645e-05,0.00198702797326003
CNTN6,5.0708495734131,-1.6216182873299558,0.2944762951869951,8.399839856635737e-09,5.596782185958405e-06
SFRP5,4.760350492526883,-1.1088013818455185,0.34495836786576495,4.890788562652256e-05,0.004313004227554612
FAM177B,2.1046218038817877,1.0099646308046601,0.9115769450159357,0.0010038827916015298,0.03810095236479223
PZP,3.0616413145797337,-1.0141800362215987,0.7096093921800902,0.0007403587141298895,0.031338948863992265
SYT12,4.126067077689925,1.624139467838969,0.3428615385303174,4.1747425029110665e-07,0.00011044649651083836
ZIC2,1.798425346774357,1.1998166271745128,1.1066635736824373,0.00048690648409538525,0.024064416617791153
ENTPD8,2.546347739082519,1.9824346870011442,0.5648663315329613,8.40281576947381e-06,0.001065147006710129
SPC24,2.2687755192256613,1.2791045341465332,0.7552956183035511,0.0003615367133228237,0.019684150248278368
RXRG,4.568768701720178,-1.2130955676603883,0.33505082028165745,2.201682774750577e-05,0.002329898418691934
MAP7D2,4.311723620674013,1.0785236590118317,0.3889633266424629,9.895881041661057e-05,0.0073827494671795234
LOC149620,4.07205780926578,-2.0605219800395576,0.3811261608965295,5.1370298521287364e-09,3.862191291903986e-06
HTR3A,2.682751903248049,2.6797661110141866,0.5722192781479899,3.183580610609495e-08,1.5909059773573562e-05
XDH,5.452540038233308,1.1236851608805833,0.263575877373547,4.977063966569417e-06,0.0007269402711992679
NGEF,4.843942740278319,1.4921177121494622,0.2970444705387216,1.4021168050044386e-07,4.504300236076759e-05
RASAL1,4.294284084946354,1.599284293385909,0.3178412200177061,1.0964092608562037e-07,3.867529922118256e-05
TRIM71,2.157854379780257,-1.5164006104368997,0.8115087578490978,0.00019278042877380588,0.011917937847562777
LY6D,2.2223577861436263,1.759492865719759,1.138242553181742,9.794612607138787e-05,0.007343944369534584
CDH19,2.7428222262878417,-2.058349316886825,0.49151391694828284,1.2724648568191424e-06,0.0002545490804906597
C2orf71,3.0173826788771843,-1.7774292005200418,0.4490844529210325,4.676685779329571e-06,0.0007000108200412418
NRG3,3.0474389606087797,-1.5283571195684094,0.4606141354957783,2.7359573140792967e-05,0.002759044333327373
RPH3A,2.1880915452601903,-1.4648308993895376,0.7729349627642582,0.0002089808328189124,0.012654202324864422
KRT6A,4.485166656394094,1.6119248226904037,0.34481034242614717,5.599711381980947e-07,0.0001399150107803295
BAIAP2L2,3.187558498406997,1.0206555721520003,0.5673402879419834,0.0004281872177627719,0.022071885523072397
HMGA2,2.5178421322086373,1.7782322248492475,0.638928449726029,4.092185501401223e-05,0.0037560416923575514
APOA1,2.631697864326354,-1.1451863615945321,0.6764264015612096,0.0004410227794559569,0.02236078068304578
DNASE1L3,5.731279015641015,-1.0524070467183841,0.2677645677815367,1.2604622196931599e-05,0.0014772980857633228
MYEOV,4.021525706564329,2.157944336935695,0.37418069528163767,5.093960639579126e-10,7.049257838925266e-07
MUC16,5.280833877456793,1.209216379835371,0.35355354344811457,3.220923653535346e-05,0.0031321306230865337
UPK3B,8.037524195258845,-1.1834796426853087,0.20794771208172472,6.083003236813818e-09,4.3773291292112234e-06
SPINK1,4.8238352617628895,1.2618280403184707,0.47177569615881904,0.00010100206066580138,0.0074468322597449465
MNX1,2.1857924374790665,1.3990190051383848,0.8194700482472419,0.00028423677033199307,0.016389165058565882
PITX1,4.400896105396193,2.1051422298627256,0.35450845496288963,2.129466660027403e-10,4.256567245988109e-07
CAMP,3.3782176958493415,-1.5793865827458518,0.39193871850564566,5.5214543046015465e-06,0.0007821335664549749
ACADL,6.232862060325327,-1.1239895410496537,0.2398853336745108,1.115614201284581e-06,0.0002361164644836425
OVCH2,1.994660682330109,-2.0789963140511762,0.7344899732003827,1.9511400131738246e-05,0.002101856816586653
SLC6A13,2.4940017103885155,-2.011313408339488,0.5503132278098587,5.848176363394362e-06,0.000821942912323942
HMGCS2,3.602117800574604,-1.0024084210800532,0.5987483810107633,0.0005238450161226005,0.024865361055529243
WFDC12,2.6066364769707406,-1.7592402141996322,0.6465826985736689,4.6124289640521976e-05,0.004149963563148343
IL22RA2,1.9326626872339534,1.6298108430567844,1.0661769875649825,0.00015849696723064532,0.010406424965252953
TMPRSS4,6.948576205986058,1.2045396352895184,0.22373038797611705,3.357777072667626e-08,1.632605663170016e-05
ABCC13,2.4941342943769356,-1.5113715850060088,0.6612413691238235,0.00012435092526193902,0.008515573844454968
DEPDC1B,4.486470284268614,1.0849595580055977,0.3331819538737297,4.6136337555845946e-05,0.004149963563148343
TROAP,4.790975388910314,1.024913511459915,0.3243210690555021,5.5346477007631984e-05,0.004696618497015563
LHFPL3,3.7919208690175195,-1.4574498179438795,0.36560543871122186,7.432684095534581e-06,0.000982416961616736
C10orf67,3.6821772099331063,-1.9194864082076377,0.38689724577611945,7.515177682868047e-08,2.8166259690582536e-05
VPREB3,2.430967358984538,1.0297200089910323,0.7544245462418906,0.0007870950727247892,0.03270170983445487
RS1,3.851136736500025,-1.9173254697189817,0.36767452698159386,2.0876868040310407e-08,1.2115317936941428e-05
AGMAT,3.3513516922244864,1.1885008750038148,0.4536343280683659,0.00011610998285699342,0.00814662984639574
F11,4.901561137315315,-1.3955306622649621,0.3058625905186465,1.2876023526764886e-06,0.0002545490804906597
CYP17A1,2.271723727720632,-1.731606596458293,0.6825306247615536,6.1353241603223e-05,0.005017021892918099
CYP1A2,2.164259372635877,-2.974002413390766,0.6619606113095788,2.948955594320171e-08,1.515763175480568e-05
DPP6,3.4335406853520922,-1.5473728715581907,0.38917430705590134,6.692481332081113e-06,0.0009190667111766352
RXFP1,4.2653501738694795,-1.4052244148238233,0.3154711248591644,1.906855609543498e-06,0.0003443718654447739
KHDRBS2,3.9867221213728126,-1.2173421819623778,0.3710225731015881,4.081480007655146e-05,0.0037560416923575514
SGCG,3.906565949667674,-1.7025700731066418,0.34563347658646726,1.4833657477641976e-07,4.6817104916277044e-05
DUSP9,1.934433663202882,1.638047419207549,0.9134820794940774,0.0001518013911141267,0.010117081110956645
PLA2G1B,5.680491737676376,-1.2873770083597755,0.2604505116184187,2.8885958509623436e-07,8.381586993356866e-05
FAM83B,3.071451309813692,1.5926048410133413,0.4883486771158111,2.745241443388548e-05,0.002759044333327373
FAM83A,6.425301033979117,1.7666644666241227,0.25924710787046257,1.679649229243735e-12,8.50590326077319e-09
COLEC10,2.934546917097179,-1.614589356970179,0.48078379032131063,2.2437011767378645e-05,0.002346754893576406
PKHD1L1,4.7074680541842895,-1.0849199556200062,0.32606596018608247,4.0907176844581866e-05,0.0037560416923575514
TMEM90A,4.373954074385217,-1.103143909700822,0.3684307002757059,6.979513327125661e-05,0.005605421640847797
TFF1,2.2184081002929656,1.029988829211616,1.1090359449661193,0.0006909595886583392,0.02959610238086553
TNNC1,7.399383686978432,-1.0228082372490523,0.21150776791228865,6.505976560603592e-07,0.00015816556530440354
CYP3A7,2.771563120527921,-1.7071554647431633,0.5142795530572233,2.0597708689427393e-05,0.0021926199959928926
CENPI,3.3771287001584858,1.171420810616265,0.47977332856923055,0.00015194994636933543,0.010117081110956645
EPN3,5.564293040345445,1.0821886246795112,0.26639177178999024,8.966580516712026e-06,0.0011201998853864537
SH3GL3,4.097575986077944,-1.5822816047008876,0.33503695629917235,4.823033746832063e-07,0.00012574837261667944
SH3GL2,3.73676130675846,-1.440702059607444,0.37803102199282224,1.1606988849503955e-05,0.0014108765500174063
GPA33,5.43400266616477,-1.082052764374317,0.2682141566733477,9.63081501216636e-06,0.0011948852556473988
PRAME,2.373503921801996,2.395209678534267,0.745056522272257,4.902322327850972e-06,0.0007228916285085163
GAD1,2.210701619846884,1.3815830472525712,0.7889324745956314,0.00028276596334286135,0.016356783538707637
WFIKKN2,2.631457681506622,-1.0822664665471484,0.7437713153347062,0.0006511381034540645,0.028515869753921442
GRHL3,2.7407624181442345,1.947677999618551,0.5004402960769376,3.874244200078884e-06,0.0006060665492123402
